Roll,Pitch,Label
88.41,-1.49,upright
88.36,-1.39,upright
88.28,-1.39,upright
88.19,-1.55,upright
88.15,-1.72,upright
88.02,-1.94,upright
87.77,-2.23,upright
87.49,-2.42,upright
86.99,-2.74,upright
86.46,-2.97,upright
85.95,-3.19,upright
85.38,-3.50,upright
85.07,-3.66,upright
84.72,-3.81,upright
84.48,-3.86,upright
84.42,-3.78,upright
84.33,-3.62,upright
84.27,-3.45,upright
84.20,-3.30,upright
84.04,-3.20,upright
83.96,-3.06,upright
83.92,-2.93,upright
83.91,-2.76,upright
83.85,-2.68,upright
83.81,-2.59,upright
83.76,-2.52,upright
83.88,-2.41,upright
84.03,-2.32,upright
84.17,-2.29,upright
84.32,-2.32,upright
84.38,-2.39,upright
84.48,-2.35,upright
84.56,-2.36,upright
84.65,-2.40,upright
84.57,-2.53,upright
84.50,-2.57,upright
84.63,-2.47,upright
84.83,-2.30,upright
85.10,-2.15,upright
85.37,-2.08,upright
85.61,-1.92,upright
85.70,-1.87,upright
85.80,-1.76,upright
85.81,-1.68,upright
85.84,-1.68,upright
85.75,-1.72,upright
85.66,-1.79,upright
85.59,-1.83,upright
85.44,-1.92,upright
85.34,-2.01,upright
85.25,-2.11,upright
85.24,-2.09,upright
85.08,-2.18,upright
85.00,-2.20,upright
84.85,-2.23,upright
84.64,-2.34,upright
84.38,-2.52,upright
84.19,-2.70,upright
83.96,-2.83,upright
83.77,-2.93,upright
83.58,-3.01,upright
83.39,-3.13,upright
83.36,-3.09,upright
83.30,-3.05,upright
83.24,-2.99,upright
83.26,-2.82,upright
83.34,-2.71,upright
83.31,-2.59,upright
83.35,-2.28,upright
83.28,-2.46,upright
83.21,-2.46,upright
83.15,-2.38,upright
83.07,-2.33,upright
82.95,-2.29,upright
82.77,-2.33,upright
82.76,-2.44,upright
82.74,-2.56,upright
82.55,-2.83,upright
82.54,-2.86,upright
82.49,-2.95,upright
82.41,-3.03,upright
82.36,-3.08,upright
82.44,-3.03,upright
82.52,-2.95,upright
82.73,-2.92,upright
82.82,-2.75,upright
82.89,-2.57,upright
82.89,-2.40,upright
82.92,-2.26,upright
82.97,-2.10,upright
82.99,-1.89,upright
82.88,-1.76,upright
82.83,-1.66,upright
82.77,-1.60,upright
82.85,-1.47,upright
82.82,-1.40,upright
82.79,-1.32,upright
82.76,-1.33,upright
82.70,-1.33,upright
82.68,-1.36,upright
82.56,-1.45,upright
82.47,-1.52,upright
82.45,-1.62,upright
82.36,-1.74,upright
82.31,-1.81,upright
82.30,-1.78,upright
82.36,-1.76,upright
82.50,-1.71,upright
82.69,-1.65,upright
82.71,-1.63,upright
82.77,-1.68,upright
82.83,-1.65,upright
82.73,-1.65,upright
82.62,-1.68,upright
82.47,-1.66,upright
82.31,-1.61,upright
82.16,-1.64,upright
82.10,-1.70,upright
82.06,-1.69,upright
82.01,-1.64,upright
81.91,-1.65,upright
81.93,-1.57,upright
82.03,-1.43,upright
82.44,-1.30,upright
82.79,-1.27,upright
