Time,Roll,Pitch,Label
0.3102743625640869,85.69,-3.77,upright,0
0.3112320899963379,85.86,-3.58,upright,0
0.3112320899963379,85.83,-3.72,upright,0
0.3112320899963379,85.49,-3.87,upright,0
0.3112320899963379,85.17,-4.12,upright,0
0.3112320899963379,85.35,-4.23,upright,0
0.3112320899963379,85.8,-3.83,upright,0
0.3112320899963379,85.94,-3.5,upright,0
0.3112320899963379,85.6,-3.58,upright,0
0.3181164264678955,85.34,-3.71,upright,0
0.31857895851135254,85.62,-3.54,upright,0
0.3205134868621826,85.78,-3.31,upright,0
0.3205134868621826,86.02,-3.04,upright,0
0.3205134868621826,86.33,-3.29,upright,0
0.322812557220459,85.84,-3.97,upright,0
0.322812557220459,86.18,-3.62,upright,0
0.3241465091705322,86.55,-3.28,upright,0
0.32450103759765625,86.68,-3.14,upright,0
0.3249640464782715,86.33,-3.46,upright,0
0.3249640464782715,86.18,-3.55,upright,0
0.3267538547515869,86.25,-3.53,upright,0
0.3267538547515869,86.31,-3.58,upright,0
0.3279540538787842,86.18,-3.65,upright,0
0.3279540538787842,86.05,-3.84,upright,0
0.3293297290802002,86.2,-3.68,upright,0
0.3293297290802002,86.15,-3.63,upright,0
0.3293297290802002,85.95,-3.57,upright,0
0.3293297290802002,85.95,-3.52,upright,0
0.3293297290802002,86.12,-3.3,upright,0
0.33324098587036133,86.1,-3.52,upright,0
0.3336348533630371,86.0,-3.54,upright,0
0.3342912197113037,86.02,-3.6,upright,0
0.3342912197113037,85.89,-3.77,upright,0
0.33698606491088867,85.88,-3.76,upright,0
0.3380157947540283,85.81,-3.67,upright,0
0.3380157947540283,85.61,-3.83,upright,0
0.3380157947540283,85.46,-3.98,upright,0
0.34113287925720215,85.53,-3.92,upright,0
0.34113287925720215,85.65,-3.73,upright,0
0.34113287925720215,85.67,-3.62,upright,0
0.34301018714904785,85.48,-3.88,upright,0
0.34354066848754883,85.38,-4.01,upright,0
0.34354066848754883,85.43,-4.01,upright,0
0.34354066848754883,85.46,-4.03,upright,0
0.3462822437286377,85.8,-3.83,upright,0
0.3462822437286377,86.02,-3.47,upright,0
0.3475773334503174,85.81,-3.42,upright,0
0.3488190174102783,85.6,-3.4,upright,0
0.3488190174102783,85.56,-3.31,upright,0
0.3488190174102783,85.33,-3.45,upright,0
0.3508303165435791,85.49,-3.44,upright,0
0.3508303165435791,85.77,-3.42,upright,0
0.3508303165435791,86.17,-3.21,upright,0
0.35283946990966797,86.34,-3.07,upright,0
0.35283946990966797,86.4,-2.95,upright,0
0.35484957695007324,86.24,-3.16,upright,0
0.3554573059082031,86.24,-3.07,upright,0
0.35725998878479004,86.0,-3.11,upright,0
0.35725998878479004,85.89,-3.06,upright,0
0.35725998878479004,86.24,-2.73,upright,0
0.3599109649658203,86.45,-2.45,upright,0
0.36025166511535645,86.3,-2.68,upright,0
0.3611760139465332,85.97,-2.96,upright,0
0.3611760139465332,86.22,-2.93,upright,0
0.36235857009887695,86.22,-2.95,upright,0
0.36235857009887695,86.05,-3.1,upright,0
0.36235857009887695,85.7,-3.13,upright,0
0.36489415168762207,85.52,-3.28,upright,0
0.36489415168762207,85.27,-3.43,upright,0
0.36565399169921875,85.09,-3.6,upright,0
0.36565399169921875,85.08,-3.32,upright,0
0.36565399169921875,85.19,-3.34,upright,0
0.36766505241394043,85.39,-3.33,upright,0
0.37145400047302246,85.35,-3.56,upright,0
0.3729383945465088,85.26,-3.6,upright,0
0.3729383945465088,85.16,-3.71,upright,0
0.3729383945465088,85.12,-3.61,upright,0
0.37494707107543945,85.22,-3.6,upright,0
0.37494707107543945,85.24,-3.45,upright,0
0.37494707107543945,85.19,-3.47,upright,0
0.3769545555114746,84.99,-3.67,upright,0
0.37757110595703125,85.01,-3.74,upright,0
0.37819361686706543,85.01,-3.68,upright,0
0.3790013790130615,84.9,-3.65,upright,0
0.3790013790130615,84.73,-3.83,upright,0
0.3805086612701416,84.99,-3.72,upright,0
0.3805086612701416,84.97,-3.66,upright,0
0.38193774223327637,84.92,-3.66,upright,0
0.38274097442626953,85.08,-3.52,upright,0
0.38274097442626953,85.37,-3.46,upright,0
0.38274097442626953,85.43,-3.5,upright,0
0.38573265075683594,85.22,-3.69,upright,0
0.3877396583557129,84.84,-3.96,upright,0
0.38889575004577637,84.98,-3.81,upright,0
0.3899679183959961,85.12,-3.72,upright,0
0.3899679183959961,85.07,-3.6,upright,0
0.3899679183959961,84.67,-4.05,upright,0
0.3919813632965088,84.46,-4.23,upright,0
0.3919813632965088,84.48,-4.38,upright,0
0.39383363723754883,84.14,-4.61,upright,0
0.3943765163421631,83.91,-4.85,upright,0
0.3943765163421631,84.73,-3.88,upright,0
0.3943765163421631,85.15,-3.53,upright,0
0.39638614654541016,84.88,-3.96,upright,0
0.39638614654541016,84.5,-4.17,upright,0
0.3973979949951172,84.44,-4.3,upright,0
0.39873600006103516,84.58,-4.1,upright,0
0.39873600006103516,84.58,-4.07,upright,0
0.39932966232299805,84.5,-4.08,upright,0
0.39932966232299805,84.42,-4.1,upright,0
0.4004812240600586,84.23,-4.29,upright,0
0.4004812240600586,84.09,-4.42,upright,0
0.40248942375183105,84.11,-4.36,upright,0
0.40453124046325684,84.32,-4.17,upright,0
0.4061110019683838,84.38,-4.18,upright,0
0.4074413776397705,84.24,-4.42,upright,0
0.40810084342956543,84.22,-4.48,upright,0
0.4093167781829834,84.28,-4.46,upright,0
0.4098234176635742,84.31,-4.36,upright,0
0.41074180603027344,84.2,-4.5,upright,0
0.41074180603027344,84.38,-4.28,upright,0
0.42534804344177246,84.42,-4.24,upright,0
0.44418811798095703,84.41,-4.26,upright,0
0.4648003578186035,84.44,-4.32,upright,0
0.48763489723205566,84.48,-4.28,upright,0
0.5039968490600586,84.41,-4.38,upright,0
0.524315357208252,84.4,-4.49,upright,0
0.5437018871307373,84.59,-4.26,upright,0
0.5613925457000732,84.86,-4.0,upright,0
0.5859982967376709,84.86,-4.02,upright,0
0.6061463356018066,84.72,-4.07,upright,0
0.6258084774017334,84.75,-4.01,upright,0
0.6455309391021729,84.99,-3.84,upright,0
0.6618969440460205,85.06,-3.82,upright,0
0.6871311664581299,84.72,-4.09,upright,0
0.7050943374633789,84.67,-3.97,upright,0
0.721228837966919,84.83,-3.86,upright,0
0.7432539463043213,84.85,-4.05,upright,0
0.7621238231658936,85.23,-3.83,upright,0
0.7862038612365723,85.27,-3.74,upright,0
0.8046460151672363,84.86,-3.89,upright,0
0.8263728618621826,84.87,-3.88,upright,0
0.8428449630737305,85.06,-3.77,upright,0
0.8622355461120605,84.9,-3.95,upright,0
0.8873462677001953,84.57,-4.16,upright,0
0.9045989513397217,84.43,-4.07,upright,0
0.9220395088195801,84.75,-4.14,upright,0
0.9380323886871338,84.83,-3.87,upright,0
0.9649753570556641,84.47,-3.8,upright,0
0.9867401123046875,83.95,-4.03,upright,0
1.007040023803711,83.95,-3.88,upright,0
1.0249223709106445,84.08,-3.62,upright,0
1.042724609375,84.21,-3.43,upright,0
1.062403678894043,84.31,-3.49,upright,0
1.0853865146636963,84.8,-3.35,upright,0
1.1035022735595703,84.96,-3.38,upright,0
1.1247305870056152,85.22,-3.21,upright,0
1.140404224395752,85.36,-2.99,upright,0
1.1650171279907227,85.26,-2.94,upright,0
1.1859312057495117,84.98,-2.83,upright,0
1.2068264484405518,85.09,-2.83,upright,0
1.2234001159667969,85.48,-2.54,upright,0
1.2458558082580566,85.8,-2.58,upright,0
1.2631964683532715,85.78,-2.65,upright,0
1.2859673500061035,85.46,-3.07,upright,0
1.3043932914733887,84.73,-3.14,upright,0
1.3212440013885498,84.57,-2.56,upright,0
1.3448765277862549,84.41,-2.33,upright,0
1.3644840717315674,84.37,-2.58,upright,0
1.387176752090454,84.2,-2.39,upright,0
1.4068584442138672,84.29,-2.36,upright,0
1.4195992946624756,84.55,-1.98,upright,0
1.4448413848876953,84.97,-1.98,upright,0
1.4638097286224365,84.97,-2.11,upright,0
1.4876461029052734,84.56,-2.23,upright,0
1.5045788288116455,84.45,-2.27,upright,0
1.5213778018951416,84.51,-2.43,upright,0
1.5443494319915771,84.7,-2.22,upright,0
1.5637917518615723,84.66,-2.32,upright,0
1.5866222381591797,84.62,-2.22,upright,0
1.6050300598144531,84.67,-2.17,upright,0
1.6260778903961182,84.82,-2.27,upright,0
1.6436009407043457,84.67,-2.05,upright,0
1.6640686988830566,84.6,-2.2,upright,0
1.6853530406951904,84.97,-2.17,upright,0
1.7038216590881348,85.14,-1.9,upright,0
1.7254061698913574,85.08,-2.07,upright,0
1.7430963516235352,84.84,-2.46,upright,0
1.7659087181091309,84.7,-2.48,upright,0
1.7861089706420898,84.45,-2.5,upright,0
1.8061060905456543,84.29,-2.37,upright,0
1.826287031173706,84.02,-2.32,upright,0
1.8437824249267578,83.83,-2.45,upright,0
1.8642089366912842,83.87,-1.81,upright,0
1.8859941959381104,84.25,-1.66,upright,0
1.9037716388702393,84.17,-1.99,upright,0
1.9200544357299805,84.2,-2.05,upright,0
1.9459826946258545,84.42,-1.96,upright,0
1.964705228805542,84.69,-2.29,upright,0
1.985806941986084,84.83,-2.43,upright,0
2.0060670375823975,84.42,-2.2,upright,0
2.0252795219421387,84.22,-1.86,upright,0
2.0443341732025146,84.41,-2.14,upright,0
2.0647060871124268,84.09,-1.97,upright,0
2.0876810550689697,84.07,-1.95,upright,0
2.102729320526123,84.68,-2.03,upright,0
2.1252667903900146,85.09,-2.3,upright,0
2.1434030532836914,85.31,-2.21,upright,0
2.1664929389953613,85.3,-1.9,upright,0
2.1860857009887695,84.33,-2.02,upright,0
2.202843427658081,83.32,-2.34,upright,0
2.226431369781494,81.79,-2.16,upright,0
2.250206708908081,81.38,-2.17,upright,0
2.264676094055176,81.56,-1.95,upright,0
2.2857797145843506,82.07,-1.63,upright,0
2.3046586513519287,82.58,-1.71,upright,0
2.3243582248687744,83.05,-1.85,upright,0
2.3437142372131348,83.69,-1.9,upright,0
2.364596366882324,84.13,-1.49,upright,0
2.385932683944702,83.97,-1.08,upright,0
2.4043359756469727,83.59,-0.88,upright,0
2.4193050861358643,83.19,-1.09,upright,0
