Roll,Pitch,Label
66.71,15.84,slouch
66.80,15.83,slouch
66.80,15.83,slouch
66.89,15.78,slouch
66.99,15.73,slouch
66.94,15.71,slouch
66.89,15.72,slouch
66.84,15.72,slouch
66.81,15.76,slouch
66.81,15.79,slouch
66.81,15.80,slouch
66.81,15.78,slouch
66.72,15.80,slouch
66.68,15.82,slouch
66.64,15.86,slouch
66.62,15.92,slouch
66.64,15.93,slouch
66.67,15.95,slouch
66.67,15.93,slouch
66.71,15.90,slouch
66.75,15.86,slouch
66.77,15.85,slouch
66.76,15.82,slouch
66.69,15.82,slouch
66.67,15.83,slouch
66.66,15.80,slouch
66.71,15.78,slouch
66.77,15.76,slouch
66.72,15.75,slouch
66.70,15.80,slouch
66.72,15.79,slouch
66.68,15.81,slouch
66.67,15.86,slouch
66.64,15.89,slouch
66.61,15.92,slouch
66.59,15.93,slouch
66.61,15.95,slouch
66.68,15.93,slouch
66.70,15.95,slouch
66.70,15.94,slouch
66.75,15.92,slouch
66.72,15.95,slouch
66.71,15.95,slouch
66.80,15.95,slouch
66.84,15.91,slouch
66.81,15.90,slouch
66.81,15.76,slouch
66.82,15.61,slouch
66.82,15.60,slouch
66.83,15.69,slouch
66.82,15.86,slouch
66.80,16.02,slouch
66.80,16.11,slouch
66.66,16.21,slouch
66.57,16.24,slouch
66.51,16.24,slouch
66.46,16.21,slouch
66.48,16.10,slouch
66.52,16.03,slouch
66.61,15.91,slouch
66.78,15.77,slouch
66.87,15.68,slouch
66.87,15.64,slouch
66.91,15.58,slouch
66.89,15.55,slouch
66.86,15.55,slouch
66.87,15.55,slouch
66.83,15.56,slouch
66.73,15.68,slouch
66.68,15.78,slouch
66.60,15.86,slouch
66.63,15.89,slouch
66.64,15.95,slouch
66.75,16.02,slouch
66.77,16.05,slouch
66.77,16.10,slouch
66.78,16.07,slouch
66.81,16.05,slouch
66.81,16.04,slouch
66.83,16.02,slouch
66.82,15.96,slouch
66.86,15.91,slouch
66.87,15.91,slouch
66.91,15.84,slouch
66.82,15.83,slouch
66.85,15.80,slouch
66.84,15.79,slouch
66.83,15.80,slouch
66.75,15.81,slouch
66.72,15.81,slouch
66.71,15.87,slouch
66.64,15.94,slouch
66.61,15.92,slouch
66.65,15.94,slouch
66.69,15.97,slouch
66.69,16.01,slouch
66.69,16.05,slouch
66.59,16.20,slouch
66.55,16.27,slouch
66.50,16.33,slouch
66.44,16.38,slouch
66.41,16.41,slouch
66.42,16.44,slouch
66.42,16.45,slouch
66.46,16.43,slouch
66.46,16.48,slouch
66.49,16.49,slouch
66.47,16.46,slouch
66.43,16.44,slouch
66.43,16.41,slouch
66.50,16.39,slouch
66.60,16.31,slouch
66.69,16.24,slouch
66.69,16.26,slouch
66.70,16.27,slouch
66.72,16.26,slouch
66.75,16.23,slouch
66.74,16.27,slouch
66.79,16.25,slouch
66.78,16.22,slouch
66.85,16.16,slouch
66.83,16.18,slouch
66.84,16.17,slouch
66.85,16.19,slouch
66.73,16.21,slouch
66.60,16.28,slouch
66.52,16.36,slouch
66.50,16.37,slouch
66.51,16.38,slouch
66.61,16.31,slouch
66.62,16.33,slouch
66.57,16.39,slouch
66.58,16.44,slouch
66.69,16.36,slouch
66.75,16.29,slouch
66.79,16.16,slouch
66.86,16.05,slouch
66.96,15.95,slouch
67.00,15.89,slouch
66.98,15.79,slouch
66.96,15.76,slouch
66.92,15.74,slouch
66.83,15.84,slouch
66.70,15.94,slouch
66.57,16.08,slouch
66.48,16.16,slouch
66.44,16.17,slouch
66.45,16.18,slouch
66.34,16.31,slouch
66.32,16.30,slouch
66.24,16.32,slouch
66.25,16.28,slouch
66.18,16.27,slouch
66.10,16.25,slouch
66.08,16.21,slouch
66.14,16.13,slouch
66.17,16.09,slouch
66.20,16.09,slouch
66.29,16.07,slouch
66.29,16.06,slouch
66.31,16.03,slouch
66.35,16.01,slouch
66.32,16.01,slouch
66.41,15.93,slouch
66.40,15.92,slouch
66.44,15.90,slouch
66.45,15.94,slouch
66.51,15.91,slouch
