Roll,Pitch,Label
77.64,7.81,upright
77.72,7.71,upright
77.76,7.66,upright
77.84,7.56,upright
77.86,7.47,upright
77.92,7.36,upright
78.02,7.27,upright
78.15,7.22,upright
78.07,7.19,upright
77.95,7.25,upright
77.74,7.31,upright
77.65,7.33,upright
77.58,7.39,upright
77.60,7.41,upright
77.56,7.44,upright
77.54,7.46,upright
77.54,7.51,upright
77.62,7.54,upright
77.69,7.55,upright
77.72,7.59,upright
77.81,7.54,upright
77.90,7.50,upright
77.99,7.43,upright
78.11,7.32,upright
78.26,7.25,upright
78.36,7.18,upright
78.30,7.12,upright
78.24,7.12,upright
78.19,7.07,upright
78.15,7.05,upright
78.11,7.01,upright
78.08,6.95,upright
78.11,6.91,upright
78.01,6.87,upright
78.01,6.87,upright
78.01,6.89,upright
78.01,6.85,upright
78.05,6.82,upright
78.04,6.80,upright
78.06,6.76,upright
78.02,6.74,upright
78.01,6.74,upright
78.02,6.76,upright
78.07,6.77,upright
78.08,6.80,upright
78.02,6.92,upright
77.93,7.01,upright
77.87,7.04,upright
77.92,7.07,upright
77.88,7.14,upright
77.74,7.21,upright
77.79,7.24,upright
77.87,7.20,upright
77.96,7.16,upright
78.09,7.09,upright
78.19,6.99,upright
78.26,6.87,upright
78.20,6.81,upright
78.18,6.78,upright
78.18,6.67,upright
78.17,6.66,upright
78.21,6.69,upright
78.28,6.68,upright
78.32,6.67,upright
78.35,6.71,upright
78.36,6.74,upright
78.36,6.78,upright
78.25,6.88,upright
78.14,6.97,upright
78.08,7.08,upright
78.06,7.21,upright
78.01,7.27,upright
78.08,7.26,upright
78.13,7.27,upright
78.10,7.30,upright
78.05,7.27,upright
77.99,7.23,upright
78.06,7.14,upright
78.22,7.01,upright
78.31,6.89,upright
78.46,6.76,upright
78.54,6.70,upright
78.63,6.62,upright
78.62,6.58,upright
78.64,6.54,upright
78.58,6.54,upright
78.54,6.55,upright
78.46,6.58,upright
78.40,6.59,upright
78.35,6.61,upright
78.35,6.65,upright
78.39,6.78,upright
78.42,6.89,upright
78.47,6.90,upright
78.51,6.91,upright
78.48,6.98,upright
78.46,7.03,upright
78.45,7.02,upright
78.42,6.97,upright
78.46,6.94,upright
78.50,6.89,upright
78.49,6.85,upright
78.53,6.87,upright
78.62,6.84,upright
78.61,6.84,upright
78.62,6.84,upright
78.67,6.75,upright
78.59,6.72,upright
78.57,6.65,upright
78.50,6.65,upright
78.41,6.67,upright
78.44,6.71,upright
78.44,6.72,upright
78.54,6.74,upright
78.65,6.73,upright
78.68,6.67,upright
78.61,6.67,upright
78.56,6.70,upright
78.52,6.75,upright
78.43,6.78,upright
78.40,6.83,upright
78.34,6.90,upright
78.35,6.95,upright
78.28,7.02,upright
78.36,7.01,upright
78.36,7.01,upright
78.30,7.00,upright
78.23,7.01,upright
78.27,7.00,upright
78.28,7.05,upright
78.37,7.08,upright
78.36,7.16,upright
78.39,7.18,upright
78.40,7.18,upright
78.39,7.12,upright
78.46,7.08,upright
78.48,7.12,upright
78.50,7.13,upright
78.50,7.18,upright
78.43,7.17,upright
78.32,7.20,upright
78.35,7.10,upright
78.39,7.07,upright
78.40,7.03,upright
78.39,7.08,upright
78.37,7.07,upright
78.31,7.08,upright
78.36,7.03,upright
78.45,6.99,upright
78.37,6.98,upright
78.34,7.01,upright
78.28,7.03,upright
78.27,7.04,upright
78.24,7.07,upright
78.23,7.09,upright
78.20,7.09,upright
78.14,7.10,upright
78.24,7.06,upright
78.26,7.07,upright
78.28,7.03,upright
78.29,7.01,upright
78.27,7.04,upright
78.30,7.02,upright
78.37,6.96,upright
78.34,6.96,upright
78.33,6.96,upright
78.40,6.94,upright
78.43,6.92,upright
78.36,6.96,upright
78.34,7.00,upright
78.35,7.00,upright
78.34,7.06,upright
78.30,7.11,upright
78.31,7.16,upright
78.33,7.11,upright
78.33,7.05,upright
78.36,7.03,upright
78.35,7.03,upright
78.38,7.01,upright
78.39,6.96,upright
78.46,6.94,upright
78.52,6.83,upright
78.61,6.74,upright
78.59,6.74,upright
78.62,6.74,upright
78.64,6.74,upright
78.58,6.73,upright
78.53,6.73,upright
78.51,6.74,upright
78.41,6.80,upright
78.33,6.83,upright
78.25,6.87,upright
78.29,6.92,upright
78.30,7.05,upright
78.29,7.05,upright
78.25,7.07,upright
78.25,7.04,upright
78.27,7.05,upright
78.31,7.06,upright
78.27,7.04,upright
78.23,7.01,upright
78.27,7.03,upright
78.34,6.99,upright
78.34,6.99,upright
78.34,6.99,upright
78.41,6.95,upright
78.45,6.88,upright
78.46,6.82,upright
78.46,6.78,upright
78.38,6.77,upright
78.40,6.75,upright
78.38,6.74,upright
78.46,6.70,upright
78.48,6.71,upright
78.39,6.78,upright
78.33,6.82,upright
78.22,6.90,upright
78.19,6.94,upright
78.20,6.92,upright
78.18,6.97,upright
78.20,7.00,upright
78.17,7.00,upright
78.16,7.02,upright
78.12,7.01,upright
78.17,6.98,upright
78.16,7.01,upright
78.18,6.97,upright
78.23,6.93,upright
78.24,6.88,upright
78.29,6.87,upright
78.30,6.90,upright
78.27,6.91,upright
78.28,6.93,upright
78.24,6.97,upright
78.22,7.00,upright
78.17,7.07,upright
78.20,7.13,upright
78.21,7.15,upright
78.17,7.19,upright
78.20,7.20,upright
78.18,7.19,upright
78.16,7.19,upright
78.14,7.15,upright
78.08,7.20,upright
78.01,7.29,upright
78.00,7.54,upright
77.86,7.57,upright
77.86,7.15,upright
77.91,7.06,upright
77.95,7.33,upright
77.96,7.46,upright
78.02,7.41,upright
78.05,7.31,upright
78.01,7.26,upright
78.09,7.18,upright
78.14,7.10,upright
78.08,7.08,upright
77.98,7.07,upright
77.95,7.13,upright
77.91,7.22,upright
77.89,7.28,upright
77.79,7.36,upright
77.76,7.45,upright
77.73,7.50,upright
77.72,7.56,upright
77.69,7.62,upright
77.72,7.63,upright
77.76,7.61,upright
77.76,7.63,upright
77.75,7.64,upright
77.66,7.72,upright
77.73,7.69,upright
77.78,7.61,upright
77.82,7.46,upright
77.87,7.38,upright
77.92,7.31,upright
77.87,7.30,upright
77.83,7.31,upright
77.84,7.31,upright
77.88,7.32,upright
77.89,7.35,upright
77.84,7.39,upright
77.87,7.41,upright
77.87,7.47,upright
77.84,7.51,upright
77.80,7.57,upright
77.64,7.67,upright
77.62,7.70,upright
77.54,7.79,upright
77.56,7.84,upright
77.59,7.84,upright
77.64,7.84,upright
77.58,7.88,upright
77.58,7.85,upright
77.56,7.83,upright
77.56,7.79,upright
77.53,7.81,upright
77.59,7.79,upright
77.64,7.71,upright
77.75,7.64,upright
77.74,7.63,upright
77.69,7.62,upright
77.67,7.61,upright
77.73,7.57,upright
77.77,7.57,upright
77.74,7.61,upright
77.72,7.65,upright
77.72,7.70,upright
77.71,7.69,upright
77.73,7.72,upright
77.79,7.71,upright
77.85,7.68,upright
77.86,7.66,upright
77.87,7.68,upright
77.81,7.69,upright
77.80,7.76,upright
77.77,7.82,upright
77.74,7.87,upright
77.72,7.87,upright
77.70,7.90,upright
77.68,7.95,upright
77.65,7.95,upright
77.68,7.90,upright
77.75,7.87,upright
77.82,7.76,upright
77.81,7.78,upright
77.81,7.76,upright
77.76,7.75,upright
77.81,7.75,upright
77.82,7.77,upright
77.85,7.77,upright
77.86,7.78,upright
78.00,7.70,upright
78.04,7.66,upright
77.96,7.66,upright
77.95,7.67,upright
77.94,7.72,upright
77.96,7.77,upright
77.99,7.76,upright
78.02,7.72,upright
77.99,7.74,upright
77.98,7.74,upright
78.08,7.73,upright
77.95,7.55,upright
77.86,7.52,upright
77.84,7.64,upright
77.86,7.71,upright
77.99,7.71,upright
78.09,7.73,upright
78.04,7.69,upright
78.01,7.63,upright
